;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
1001,1,0.0,0.0,0.0,141.0,118.9,1.2,20.9,141.1,41.9,77.0,0.7,0.5,16.4,1.9,0.4,2.0,0.0,0.0,0.1,0.0,0,0,0,0,0,0,79,140069.0,0.0,0.0,0.0
1002,2,41.1,106.0,2.58,117.6,84.3,3.7,29.6,125.0,29.4,55.0,2.3,1.4,16.5,5.9,1.3,5.9,0.0,0.0,3.4,4.0,0,0,0,0,0,0,89,75767.0,0.0,0.0,0.0
1003,3,119.6,456.8,3.82,30.9,11.4,1.0,18.6,67.2,0.8,10.6,0.6,0.4,15.0,1.6,0.4,1.6,0.0,0.0,24.6,11.7,3,0,0,0,0,0,0,75767.0,0.0,0.0,0.0
1004,4,32.1,87.9,2.74,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,3.2,0,0,0,0,0,0,0,75767.0,0.0,0.0,0.0
1005,5,126.8,305.4,2.41,548.2,218.2,8.1,322.0,568.6,147.6,70.6,4.9,3.2,1.9,47.9,89.8,182.3,0.0,0.0,8.0,12.4,4,0,0,0,0,0,90,66800.0,0.0,0.0,0.0
1006,6,344.0,998.8,2.9,128.0,36.0,1.5,90.5,251.0,35.1,0.9,0.9,0.6,13.7,36.1,5.8,34.9,0.0,0.0,89.3,33.7,2,0,0,0,0,0,0,75767.0,0.0,0.0,0.0
1007,7,219.0,470.4,2.15,330.6,62.8,1.2,266.7,376.0,34.9,27.9,0.7,0.5,13.7,137.1,16.1,99.8,18.4,0.0,5.4,21.5,21,0,0,0,0,0,0,66800.0,0.0,0.0,0.0
1008,8,158.1,327.1,2.07,162.0,73.4,3.0,85.6,180.7,62.1,11.3,1.8,1.2,0.7,4.8,6.6,73.5,0.0,0.0,3.2,15.5,14,0,0,0,0,0,11,69302.0,0.0,0.0,0.0
1009,9,132.8,322.5,2.43,58.2,1.5,1.1,55.6,76.0,0.9,0.6,0.7,0.4,0.3,48.4,5.2,1.8,0.0,0.0,4.7,13.0,5,0,0,0,0,0,0,75767.0,451.0,0.0,0.0
1010,10,107.2,251.7,2.35,195.8,10.4,153.3,32.0,211.8,9.8,0.6,138.1,15.3,10.8,15.0,4.5,1.8,0.0,0.0,5.5,10.5,4,0,0,0,0,0,0,67673.0,0.0,0.0,0.0
1011,11,219.9,275.0,1.25,408.2,52.3,8.9,347.0,438.8,29.4,22.9,5.5,3.4,15.2,213.2,8.4,110.2,0.0,0.0,9.0,21.6,20,19,0,0,0,0,65,71818.0,0.0,225.0,221.0
1012,12,52.8,152.0,2.88,20.1,1.7,13.9,4.6,64.2,1.0,0.7,13.4,0.5,0.3,1.9,0.4,1.9,36.9,0.0,2.0,5.2,2,0,0,0,0,0,0,75767.0,0.0,0.0,0.0
1013,13,56.8,170.1,3.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.6,1,0,0,0,0,0,0,75767.0,0.0,0.0,0.0
1014,14,5.8,13.7,2.35,78.2,73.1,1.1,4.0,79.6,28.4,44.7,0.6,0.4,0.2,1.7,0.4,1.7,0.0,0.0,0.8,0.6,2,0,0,0,0,0,54,75767.0,0.0,0.0,0.0
1015,15,17.7,27.5,1.55,40.8,26.6,3.0,11.3,47.0,14.9,11.7,1.8,1.2,0.7,4.8,1.1,4.7,0.0,0.0,4.5,1.7,1,0,21,0,0,0,0,128378.0,0.0,0.0,0.0
1016,16,2.6,6.1,2.35,296.6,89.5,4.8,202.4,299.0,49.9,39.6,2.9,1.9,14.7,145.1,1.7,40.8,0.0,0.0,2.1,0.3,0,0,0,0,0,0,52,140069.0,0.0,0.0,0.0
1017,17,0.0,0.0,0.0,19.6,4.3,3.2,12.1,20.1,2.5,1.8,2.0,1.2,0.7,5.2,1.2,5.0,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,140069.0,0.0,0.0,0.0
1018,18,5.7,13.3,2.35,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0,0,0,0,0,0,0,140069.0,0.0,0.0,0.0
1019,19,16.2,80.2,4.95,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,0,0,0,0,0,0,0,140069.0,0.0,0.0,0.0
