;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
7001,1,136.5,329.9,2.42,150.0,0.1,73.2,76.7,161.3,0.1,0.0,16.5,56.7,13.2,44.6,0.1,18.9,0.0,0.0,2.2,9.1,0,0,0,0,0,0,0,51588.0,261.0,0.0,0.0
7002,2,42.8,98.4,2.3,38.9,9.4,8.8,20.7,43.2,9.3,0.1,0.2,8.7,0.1,0.3,0.2,20.1,0.0,0.0,1.4,2.8,0,0,0,0,0,0,0,51588.0,0.0,0.0,0.0
7003,3,208.3,504.5,2.42,62.3,18.0,0.5,43.8,76.5,9.4,8.7,0.3,0.2,14.0,0.5,8.9,20.4,0.0,0.0,0.4,13.8,0,0,0,0,0,0,0,51665.0,0.0,0.0,0.0
7004,4,129.0,302.4,2.34,20.5,6.6,13.4,0.4,30.7,0.1,6.6,13.4,0.1,0.0,0.1,0.1,0.2,0.0,0.0,1.7,8.6,0,0,0,0,0,0,0,63737.0,0.0,0.0,0.0
7005,5,68.6,148.5,2.17,98.1,18.3,0.7,79.0,102.9,18.1,0.2,0.4,0.3,0.2,0.8,0.4,77.7,0.0,0.0,0.3,4.5,0,0,0,0,0,0,0,66063.0,0.0,0.0,0.0
7006,6,91.5,275.4,3.01,118.0,16.8,40.3,60.8,125.7,8.8,8.0,32.2,8.2,0.2,33.1,8.4,19.1,0.0,0.0,1.7,6.1,0,0,0,0,0,0,0,51588.0,0.0,199.0,0.0
7007,7,141.2,305.7,2.17,323.1,43.4,68.2,211.5,333.4,10.1,33.3,18.0,50.1,13.9,25.2,18.1,154.4,0.0,0.0,0.9,9.4,0,0,0,0,0,0,0,65989.0,0.0,0.0,0.0
7008,8,77.9,197.6,2.54,19.2,0.2,0.2,18.9,27.7,0.1,0.1,0.1,0.1,0.0,0.2,0.1,18.5,0.0,0.0,3.3,5.2,0,0,0,0,0,0,0,52104.0,0.0,0.0,0.0
7009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,52104.0,0.0,0.0,0.0
7010,10,38.3,94.0,2.45,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.5,0,0,0,0,0,0,0,52104.0,0.0,0.0,0.0
7011,11,14.1,35.6,2.52,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0,0,0,0,0,0,0,66063.0,0.0,0.0,0.0
7012,12,59.9,151.6,2.53,43.4,31.6,0.5,11.3,47.9,31.5,0.1,0.2,0.2,0.1,0.5,10.1,0.6,0.0,0.0,0.6,4.0,0,0,0,0,0,0,0,54344.0,0.0,0.0,0.0
7013,13,269.9,775.3,2.87,19.9,0.3,0.3,19.3,41.0,0.2,0.1,0.2,0.2,0.1,0.4,0.2,18.7,0.0,0.0,3.2,17.9,0,0,0,0,0,0,0,52104.0,0.0,0.0,0.0
7014,14,4.2,11.7,2.8,104.8,0.6,15.8,88.4,105.4,0.4,0.2,15.5,0.3,0.2,0.8,0.4,87.1,0.0,0.0,0.3,0.3,0,0,0,0,0,0,0,58542.0,0.0,0.0,0.0
7015,15,41.8,83.9,2.01,19.0,0.1,0.2,18.7,21.9,0.1,0.0,0.1,0.1,0.0,0.2,0.1,18.4,0.0,0.0,0.1,2.8,0,0,0,0,0,0,0,59125.0,0.0,0.0,0.0
