;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
13001,1,310.8,1006.6,3.24,30.9,12.1,0.5,18.3,117.4,11.9,0.2,0.2,0.3,11.6,1.5,3.6,1.6,0.0,10.0,49.0,27.5,0,0,0,0,0,0,0,81618.0,0.0,0.0,0.0
13002,2,527.8,1093.5,2.07,658.3,168.6,22.9,466.8,749.7,78.4,90.1,16.7,6.2,161.1,104.5,8.6,192.5,0.0,30.1,14.7,46.6,0,0,0,0,0,0,0,74688.0,326.0,0.0,0.0
13003,3,397.2,1040.6,2.62,266.7,12.8,14.1,239.7,351.0,9.3,3.5,3.6,10.5,36.2,47.0,7.3,149.3,0.0,10.0,39.2,35.1,0,0,0,0,0,0,0,93281.0,0.0,0.0,0.0
13004,4,210.4,594.8,2.83,471.5,14.9,15.0,441.7,523.7,10.8,4.0,4.2,10.8,6.5,111.6,271.1,52.4,0.0,0.0,33.6,18.6,0,0,0,0,0,0,0,93281.0,479.0,0.0,0.0
13005,5,393.9,1254.2,3.18,301.2,29.4,36.5,235.3,385.0,24.5,5.0,5.2,31.4,74.5,34.3,9.3,117.1,0.0,10.0,39.0,34.8,0,0,0,0,0,0,0,92759.0,0.0,0.0,0.0
13006,6,141.7,236.1,1.67,1063.4,70.7,53.7,939.0,1121.2,40.5,30.2,37.4,16.3,26.2,482.9,7.2,422.7,0.0,0.0,45.3,12.5,0,0,0,0,0,0,0,77635.0,0.0,793.0,0.0
13007,7,275.0,541.7,1.97,394.9,112.0,38.2,244.8,434.7,92.0,19.9,18.0,20.1,31.1,65.0,26.6,122.1,0.0,0.0,15.4,24.3,0,0,0,0,0,0,0,82230.0,0.0,0.0,0.0
13008,8,469.3,1000.6,2.13,1364.6,339.0,37.9,987.7,1465.5,250.7,88.3,3.2,34.7,59.8,584.1,29.9,314.0,0.0,40.2,19.2,41.4,0,0,0,0,0,0,54,54167.0,0.0,0.0,1173.0
13009,9,173.4,470.0,2.71,492.4,117.8,115.6,259.0,793.1,109.5,8.3,8.6,106.9,99.9,57.6,10.1,91.4,0.0,241.1,44.3,15.3,0,0,0,0,0,0,0,81618.0,0.0,0.0,0.0
13010,10,93.5,233.3,2.49,210.7,31.4,26.9,152.4,554.7,20.7,10.7,3.8,23.1,16.8,25.1,4.4,106.1,0.0,331.5,4.2,8.3,0,0,0,0,0,0,18,81618.0,0.0,0.0,0.0
13011,11,213.2,352.1,1.65,444.8,268.7,12.3,163.8,493.8,241.6,27.1,5.2,7.1,19.4,60.2,19.6,64.6,0.0,0.0,30.2,18.8,0,0,0,0,0,0,0,64675.0,0.0,0.0,0.0
13012,12,139.9,554.9,3.97,207.8,35.7,33.7,138.4,242.7,32.4,3.4,3.5,30.2,28.6,49.3,7.6,53.0,0.0,10.0,12.5,12.4,0,0,0,0,0,0,0,81618.0,0.0,0.0,0.0
13013,13,397.6,937.5,2.36,161.3,7.2,10.8,143.4,245.5,5.2,1.9,2.0,8.8,14.2,112.5,2.3,14.3,0.0,10.0,39.0,35.1,0,0,0,0,0,0,0,81618.0,438.0,0.0,0.0
13014,14,110.0,318.7,2.9,0.0,0.0,0.0,0.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,9.7,0,0,0,0,0,0,0,81618.0,0.0,0.0,0.0
13015,15,130.8,316.9,2.42,54.7,1.3,11.4,41.9,77.6,1.0,0.4,10.9,0.5,10.2,2.5,3.3,25.9,0.0,0.0,11.4,11.5,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13016,16,96.2,257.4,2.68,50.3,1.5,13.8,35.1,74.8,1.1,0.4,0.4,13.3,0.7,2.8,0.5,31.1,0.0,10.0,5.9,8.5,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13017,17,45.7,92.9,2.03,41.1,2.7,1.8,36.5,52.4,2.0,0.7,0.8,1.0,1.2,5.2,0.9,29.2,0.0,0.0,7.3,4.0,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13018,18,40.8,131.5,3.22,16.3,12.4,0.5,3.4,23.5,12.2,0.2,0.2,0.3,0.3,1.4,0.2,1.5,0.0,0.0,3.6,3.6,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13019,19,80.1,112.1,1.4,0.0,0.0,0.0,0.0,148.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4,0.0,7.8,7.1,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13020,20,15.9,47.8,3.01,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.2,1.4,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13021,21,40.7,127.5,3.14,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.6,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13022,22,66.6,131.4,1.97,67.1,1.6,7.3,58.3,79.6,1.1,0.4,0.4,6.9,0.7,53.9,0.5,3.1,0.0,0.0,6.5,5.9,0,0,0,0,0,0,0,84583.0,137.0,0.0,0.0
13023,23,16.3,38.6,2.37,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.4,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13024,24,83.4,150.1,1.8,18.2,1.7,8.6,7.9,50.2,1.2,0.5,0.5,8.1,0.7,3.2,0.6,3.4,0.0,20.1,4.5,7.4,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13025,25,25.9,40.7,1.57,36.6,0.8,6.4,29.5,40.3,0.6,0.2,0.2,6.2,0.3,1.4,0.2,27.4,0.0,0.0,1.4,2.3,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13026,26,58.1,131.7,2.27,35.9,0.7,6.3,28.9,46.1,0.5,0.2,0.2,6.1,0.3,1.2,0.2,27.2,0.0,0.0,5.1,5.1,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13027,27,38.8,98.7,2.55,23.0,0.3,11.2,11.5,30.2,0.2,0.1,11.1,0.1,10.1,0.6,0.1,0.6,0.0,0.0,3.8,3.4,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13028,28,139.4,309.6,2.22,23.5,0.9,18.2,4.4,58.0,0.7,0.3,0.3,17.9,0.4,1.8,0.3,1.9,0.0,10.0,12.1,12.3,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
13029,29,42.7,194.5,4.56,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.8,0,0,0,0,0,0,0,84583.0,0.0,0.0,0.0
