;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
15001,1,12.6,45.7,3.63,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15002,2,28.9,49.6,1.72,21.1,0.0,0.0,21.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,1.9,1.9,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15003,3,9.8,13.4,1.36,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.7,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15004,4,46.3,164.9,3.56,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15005,5,38.7,89.8,2.32,53.7,0.1,0.1,53.6,63.7,0.0,0.0,0.0,0.0,10.7,13.3,8.3,21.3,0.0,0.0,7.4,2.6,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15006,6,10.0,50.3,5.04,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.7,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15007,7,10.9,30.6,2.8,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.7,1,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15008,8,1.0,2.7,2.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15009,9,2.0,8.7,4.39,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0,0,0,0,0,0,0,66328.0,0.0,0.0,0.0
15010,10,13.5,31.3,2.32,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15011,11,6.7,17.4,2.58,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15012,12,2.0,6.7,3.4,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15013,13,6.8,13.1,1.93,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15014,14,3.9,10.7,2.77,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15015,15,1.0,2.9,2.91,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15016,16,8.7,24.2,2.79,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15017,17,4.8,20.5,4.22,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15018,18,6.8,19.2,2.83,10.5,0.0,0.0,10.4,13.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,2.1,0.5,1,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15019,19,2.0,5.4,2.77,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15020,20,2.9,6.3,2.17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15021,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15022,22,3.9,11.2,2.91,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15023,23,4.8,10.5,2.17,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15024,24,1.0,2.8,2.91,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15025,25,7.7,21.9,2.83,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15026,26,20.2,62.5,3.09,5.4,0.0,0.0,5.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,1.0,1.4,1,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15027,27,1.0,2.7,2.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15028,28,1.0,2.7,2.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
15029,29,1.0,2.7,2.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,57500.0,0.0,0.0,0.0
