;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
17001,1,34.7,72.9,2.1,64.2,25.4,5.6,33.2,71.7,11.3,14.1,0.1,5.6,0.1,0.6,10.9,21.6,0.0,0.0,4.2,3.3,3,0,0,0,0,0,43,103092.0,0.0,0.0,0.0
17002,2,32.5,83.1,2.56,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,3.1,18,0,0,0,0,0,0,103092.0,0.0,0.0,0.0
17003,3,44.4,121.2,2.73,75.9,26.2,0.3,49.4,81.4,11.4,14.8,0.1,0.2,0.2,16.5,11.0,21.7,0.0,0.0,1.3,4.2,16,0,0,0,0,0,64,78640.0,0.0,0.0,0.0
17004,4,51.2,99.1,1.93,8.3,7.9,0.0,0.3,13.6,0.1,7.8,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.5,4.8,3,1,30,0,0,0,46,74195.0,0.0,0.0,0.0
17005,5,25.1,59.1,2.35,20.3,0.2,0.0,20.0,23.3,0.1,0.2,0.0,0.0,0.0,0.1,0.1,19.8,0.0,0.0,0.7,2.4,2,0,0,0,0,0,0,73750.0,0.0,0.0,0.0
17006,6,0.0,0.0,0.0,101.5,8.1,17.7,75.7,103.9,2.0,6.1,17.0,0.7,0.6,49.0,2.2,23.8,0.0,0.0,2.3,0.0,0,0,0,0,0,0,0,103092.0,0.0,0.0,0.0
17007,7,43.4,141.8,3.26,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.1,2,2,0,0,0,0,0,53813.0,0.0,0.0,0.0
17008,8,58.5,113.6,1.94,70.5,22.8,0.2,47.5,76.8,21.9,0.9,0.1,0.1,0.1,46.7,0.3,0.5,0.0,0.0,0.8,5.5,23,0,0,0,0,0,6,73750.0,215.0,0.0,0.0
17009,9,47.1,144.0,3.05,85.2,40.6,5.6,39.0,157.7,33.3,7.3,0.0,5.6,6.2,0.4,10.8,21.5,66.8,0.0,1.4,4.4,13,6,0,0,0,0,9,73750.0,0.0,0.0,0.0
17010,10,39.1,109.9,2.81,108.2,18.4,0.2,89.6,112.5,11.0,7.3,0.1,0.1,6.1,31.1,10.6,41.8,0.0,0.0,0.7,3.7,21,0,0,0,0,0,32,73750.0,0.0,0.0,0.0
17011,11,21.5,56.5,2.63,192.0,94.9,15.2,81.9,194.3,23.8,71.2,9.2,6.0,13.2,34.0,11.6,23.1,0.0,0.0,0.3,2.0,9,1,0,0,0,0,61,73750.0,0.0,0.0,0.0
17012,12,38.9,96.9,2.49,73.0,1.2,0.2,71.6,77.2,0.3,0.9,0.1,0.1,6.4,64.5,0.3,0.5,0.0,0.0,0.5,3.7,4,0,0,0,0,0,0,73750.0,0.0,0.0,148.0
