;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
19001,1,1.1,3.1,2.71,500.1,223.3,13.8,263.1,510.6,23.1,200.2,5.8,8.0,20.3,36.2,16.9,189.7,0.0,0.0,10.3,0.1,23,159,260,0,0,0,584,80838.0,0.0,0.0,0.0
19002,2,2.2,4.6,2.06,37.3,30.4,0.6,6.3,38.3,1.0,29.4,0.2,0.3,0.9,1.5,0.7,3.2,0.0,0.0,0.8,0.3,5,37,0,0,0,0,64,62391.0,0.0,0.0,0.0
19003,3,114.2,236.5,2.07,36.6,0.1,0.0,36.4,58.8,0.0,0.1,0.0,0.0,12.5,0.1,8.6,15.2,0.0,0.0,8.9,13.4,13,2,0,0,0,0,0,80838.0,0.0,0.0,0.0
19004,4,97.2,236.7,2.43,135.2,8.7,19.6,106.8,153.8,3.0,5.7,0.8,18.9,16.0,4.7,11.4,74.7,0.0,0.0,7.3,11.4,4,2,0,0,0,0,139,55012.0,0.0,0.0,0.0
19005,5,0.0,0.0,0.0,176.6,91.8,3.9,81.0,178.6,6.5,85.2,1.6,2.3,5.7,10.2,4.8,60.3,0.0,0.0,2.0,0.0,0,0,0,0,0,0,292,62391.0,0.0,0.0,0.0
19006,6,0.0,0.0,0.0,40.8,0.9,8.9,31.0,41.0,0.3,0.6,0.1,8.8,13.4,0.5,0.2,16.9,0.0,0.0,0.2,0.0,1,0,0,0,0,0,0,80838.0,0.0,0.0,0.0
19007,7,378.4,861.8,2.28,57.2,13.8,11.2,32.2,103.3,2.2,11.6,0.5,10.6,1.9,3.4,1.6,25.2,0.0,0.0,1.8,44.3,5,0,0,0,0,0,0,80838.0,0.0,0.0,0.0
19008,8,116.3,228.1,1.96,126.5,13.9,2.9,109.6,145.8,4.8,9.1,1.2,1.7,4.2,7.5,3.5,94.3,0.0,0.0,5.7,13.6,3,68,0,0,0,0,0,80838.0,0.0,0.0,0.0
19009,9,131.8,381.9,2.9,159.1,0.4,0.1,158.6,181.1,0.1,0.3,0.0,0.0,0.1,132.0,9.5,16.9,0.0,0.0,6.6,15.4,9,0,0,0,0,0,0,55012.0,682.0,0.0,0.0
19010,10,177.9,376.2,2.11,133.4,37.3,0.4,95.7,160.1,29.2,8.1,0.2,0.2,0.6,1.1,9.8,84.3,0.0,0.0,5.8,20.8,16,0,0,0,0,0,3,55012.0,0.0,0.0,0.0
19011,11,21.0,58.4,2.78,141.5,54.2,3.1,84.3,148.1,44.4,9.8,1.3,1.8,4.5,8.1,3.8,67.9,0.0,0.0,4.1,2.5,0,0,0,0,0,0,0,55012.0,0.0,0.0,0.0
19012,12,20.8,26.3,1.26,231.9,77.9,30.8,123.2,234.7,0.3,77.6,0.1,30.8,0.3,0.4,10.6,111.8,0.0,0.0,0.3,2.4,2,10,0,0,0,0,10,55012.0,0.0,0.0,0.0
19013,13,3.1,12.7,4.08,722.7,494.0,34.0,194.7,723.8,164.6,329.4,0.3,33.7,17.4,21.2,12.0,144.0,0.0,0.0,0.8,0.4,2,0,0,0,0,0,205,32500.0,0.0,0.0,0.0
19014,14,67.2,136.7,2.04,198.6,124.9,1.6,72.2,213.6,47.4,77.4,0.7,0.9,18.3,4.3,2.0,47.6,0.0,0.0,7.1,7.9,7,0,0,0,0,0,268,62391.0,0.0,0.0,0.0
19015,15,39.4,64.9,1.65,890.3,245.8,41.9,602.6,898.1,66.2,179.6,0.8,41.1,62.7,398.0,22.8,119.1,0.0,0.0,3.2,4.6,3,22,0,0,0,0,142,34046.0,0.0,0.0,0.0
19016,16,89.8,220.1,2.45,208.4,8.0,0.2,200.2,223.1,0.4,7.6,0.1,0.1,14.1,132.2,19.2,34.6,0.0,0.0,4.2,10.5,7,6,0,0,0,0,6,62391.0,0.0,0.0,0.0
19017,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,62391.0,0.0,0.0,0.0
