;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
21001,1,7.2,12.7,1.77,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,39,0,2,16,23,0,0,58385.0,0.0,0.0,0.0
21002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,0,56902.0,0.0,0.0,0.0
21003,3,20.3,64.4,3.17,11.9,0.3,0.2,11.4,25.3,0.2,0.1,0.1,0.1,0.1,0.3,10.6,0.4,0.0,8.8,3.6,1.0,19,0,0,19,0,0,0,56902.0,0.0,0.0,0.0
21004,4,7.6,20.0,2.65,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,21,0,0,13,8,0,0,58385.0,0.0,0.0,0.0
21005,5,56.0,153.5,2.74,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.6,23,0,0,23,0,0,0,58385.0,0.0,0.0,0.0
21006,6,95.1,217.8,2.29,49.5,0.7,11.1,37.8,87.8,0.3,0.3,0.3,10.7,0.2,0.6,11.3,25.7,21.5,0.0,12.2,4.5,17,0,0,17,0,0,0,56931.0,0.0,0.0,0.0
21007,7,16.7,69.3,4.15,28.0,0.6,0.5,26.9,418.0,0.3,0.3,0.3,0.1,0.2,0.6,0.4,25.8,387.2,0.0,2.0,0.8,1,0,0,1,0,0,0,56902.0,0.0,0.0,0.0
21008,8,153.1,514.7,3.36,96.4,25.4,24.3,46.7,372.6,24.2,1.2,1.3,23.0,0.8,14.3,1.5,30.1,258.1,0.0,10.9,7.2,29,0,0,29,0,0,0,56902.0,0.0,0.0,0.0
21009,9,78.3,193.8,2.47,81.6,11.9,55.6,14.0,135.0,11.5,0.4,33.6,22.0,0.2,12.1,0.5,1.2,43.0,0.0,6.7,3.7,14,0,0,14,0,0,0,56902.0,111.0,0.0,0.0
21010,10,7.6,16.5,2.18,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,7,0,0,7,0,0,0,58385.0,0.0,0.0,0.0
21011,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,58385.0,0.0,0.0,0.0
21012,12,14.8,39.4,2.66,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.7,3,0,0,0,3,0,0,56902.0,0.0,0.0,0.0
21013,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56902.0,0.0,0.0,0.0
21014,14,66.6,126.1,1.89,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.2,21,0,0,9,12,0,0,56902.0,0.0,0.0,0.0
