;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
23001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23002,2,116.5,650.0,5.58,229.5,1.6,180.3,47.6,246.5,0.7,0.8,180.1,0.3,10.6,18.4,17.3,1.3,0.0,0.0,9.4,7.6,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23003,3,79.2,213.9,2.7,33.3,11.4,0.3,21.6,57.3,11.2,0.2,0.2,0.1,0.1,0.4,0.3,20.8,0.0,0.0,18.8,5.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23005,5,2.2,6.9,3.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23008,8,3.3,6.0,1.83,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23009,9,34.1,99.1,2.91,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.2,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23010,10,58.3,210.0,3.6,27.3,0.3,0.2,26.9,35.9,0.1,0.1,0.2,0.0,9.9,16.5,0.3,0.2,0.0,0.0,4.8,3.8,1,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23011,11,219.4,742.4,3.38,65.8,0.5,6.6,58.8,96.0,0.2,0.2,0.3,6.3,9.1,15.2,14.4,20.1,0.0,0.0,15.8,14.3,6,0,0,0,0,0,0,97717.0,0.0,0.0,0.0
23012,12,235.2,747.2,3.18,61.7,12.1,16.7,32.9,125.5,11.8,0.3,9.9,6.8,9.8,0.6,0.6,21.8,0.0,0.0,48.4,15.3,1,0,0,0,0,0,0,97788.0,280.0,0.0,0.0
23013,13,72.3,297.0,4.11,32.9,0.2,0.2,32.5,38.2,0.1,0.1,0.1,0.0,10.0,0.2,0.2,22.1,0.0,0.0,0.6,4.7,0,0,0,0,0,0,0,97788.0,0.0,0.0,0.0
23014,14,1.4,7.0,5.17,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0,0,0,0,0,0,0,97788.0,0.0,0.0,0.0
23015,15,2.9,9.3,3.26,0.0,0.0,0.0,0.0,182.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.2,0.0,1.8,0.2,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23016,16,4.1,13.5,3.26,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23017,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23018,18,1.1,3.5,3.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23019,19,5.1,11.7,2.31,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.3,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23020,20,1.6,5.9,3.74,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23021,21,5.8,19.0,3.26,11.9,0.1,11.5,0.3,13.5,0.1,0.1,0.1,11.4,0.0,0.1,0.1,0.1,0.0,0.0,1.2,0.4,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23022,22,1.5,2.8,1.83,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23023,23,22.7,57.4,2.52,11.6,0.1,0.1,11.5,16.4,0.0,0.0,0.1,0.0,11.2,0.1,0.1,0.1,0.0,0.0,3.3,1.5,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23024,24,28.5,85.6,3.01,17.6,10.7,6.3,0.6,26.1,10.6,0.1,0.1,6.2,0.0,0.2,0.2,0.2,0.0,0.0,6.6,1.9,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23025,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23026,26,1.4,5.3,3.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23027,27,4.5,13.4,2.94,151.5,1.7,144.5,5.3,173.0,0.8,0.9,144.2,0.3,0.4,1.7,1.7,1.4,0.0,20.0,1.3,0.3,1,0,0,0,0,0,0,94019.0,0.0,0.0,0.0
23028,28,51.6,185.4,3.59,5.9,0.0,5.7,0.1,17.7,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,8.4,3.4,0,0,0,0,0,0,0,97788.0,0.0,0.0,0.0
23029,29,21.5,63.2,2.93,6.0,0.1,5.8,0.2,15.2,0.0,0.0,0.0,5.7,0.0,0.1,0.1,0.1,0.0,0.0,7.8,1.4,0,0,0,0,0,0,0,97788.0,0.0,0.0,0.0
23030,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23031,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23032,32,6.8,32.0,4.69,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23033,33,8.6,18.9,2.21,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23034,34,5.5,23.3,4.21,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0,0,0,0,0,0,0,94962.0,0.0,0.0,0.0
23035,35,0.0,0.0,0.0,5.0,1.0,0.8,3.1,7.2,0.5,0.5,0.7,0.2,0.3,1.0,1.0,0.9,0.0,0.0,2.2,0.0,0,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23036,36,2.5,7.1,2.78,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,1,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23037,37,1.3,4.4,3.5,21.3,0.1,0.1,21.0,21.8,0.1,0.1,0.1,0.0,0.0,0.1,0.1,20.7,0.0,0.0,0.5,0.1,5,0,0,0,0,0,0,92135.0,0.0,0.0,0.0
23038,38,49.3,231.4,4.69,991.8,137.6,211.5,642.7,1088.8,134.2,3.4,204.5,7.0,69.7,6.5,523.6,42.9,22.5,40.0,31.2,3.2,0,0,0,0,0,0,0,108750.0,0.0,0.0,0.0
23039,39,246.9,712.8,2.89,124.0,95.3,1.2,27.5,179.1,52.7,42.7,0.9,0.2,9.1,15.9,1.4,1.2,22.5,0.0,16.5,16.1,1,2,0,0,0,0,0,108750.0,0.0,0.0,0.0
