;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
29001,1,92.7,204.9,2.21,69.0,1.1,0.5,67.4,96.5,0.6,0.5,0.2,0.3,14.9,1.1,0.3,51.1,0.0,0.0,21.7,5.7,2,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29002,2,214.4,636.0,2.97,109.9,0.7,0.3,108.8,171.8,0.4,0.3,0.2,0.2,0.3,19.1,43.1,46.2,0.0,0.0,48.7,13.2,1,1,0,0,0,0,0,138566.0,0.0,0.0,0.0
29003,3,75.0,203.1,2.71,0.0,0.0,0.0,0.0,119.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9,0.0,18.3,4.6,3,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29004,4,126.3,356.9,2.83,51.3,0.4,0.2,50.7,110.7,0.2,0.2,0.1,0.1,0.2,0.4,0.1,50.1,0.0,0.0,51.6,7.8,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29006,6,126.2,252.5,2.0,121.7,29.6,11.0,81.2,148.6,28.6,0.9,0.5,10.5,15.1,2.2,12.0,51.9,0.0,0.0,19.1,7.8,2,1,0,0,0,0,0,125481.0,0.0,0.0,0.0
29007,7,16.4,47.0,2.86,322.3,145.2,39.5,137.7,333.7,141.9,3.3,27.5,12.0,17.7,7.8,1.8,110.4,0.0,0.0,10.4,1.0,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29008,8,22.7,52.6,2.31,99.9,97.0,0.3,2.6,107.2,96.6,0.3,0.2,0.2,0.3,0.7,0.2,1.3,0.0,0.0,5.9,1.4,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29009,9,223.9,406.0,1.81,518.0,161.0,20.4,336.6,562.3,55.3,105.7,9.4,11.0,16.1,24.6,12.2,283.5,0.0,0.0,30.6,13.8,1,0,0,0,0,0,60,111434.0,0.0,0.0,0.0
29010,10,27.2,41.9,1.54,14.8,13.5,0.2,1.2,65.0,0.2,13.3,0.1,0.1,0.2,0.3,0.1,0.6,0.0,31.5,17.1,1.7,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29011,11,216.3,662.0,3.06,65.7,13.6,18.0,34.1,136.0,13.4,0.2,8.3,9.7,13.7,19.3,0.1,0.9,0.0,0.0,57.0,13.3,1,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29012,12,79.2,173.1,2.18,313.1,14.8,1.1,297.1,335.8,13.8,1.1,0.5,0.6,26.7,180.4,42.1,47.9,0.0,0.0,17.9,4.9,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29013,13,95.0,249.6,2.63,15.7,0.3,0.2,15.3,53.9,0.2,0.1,0.1,0.1,14.3,0.3,0.1,0.6,0.0,15.8,16.5,5.9,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29014,14,53.5,128.2,2.4,238.4,47.9,28.3,162.2,256.4,13.9,33.9,0.6,27.7,1.3,91.2,21.3,48.4,0.0,0.0,14.8,3.3,0,0,0,0,0,0,0,111434.0,0.0,493.0,0.0
29015,15,114.5,288.8,2.52,43.9,0.3,0.1,43.5,68.4,0.2,0.1,0.1,0.1,42.6,0.3,0.1,0.5,0.0,0.0,17.4,7.1,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29016,16,0.0,0.0,0.0,110.4,1.6,0.8,108.0,111.7,0.9,0.7,0.4,0.4,0.8,103.8,0.4,3.0,0.0,0.0,1.3,0.0,0,0,0,0,0,0,0,111434.0,0.0,0.0,1140.0
29017,17,5.0,15.8,3.16,157.5,1.0,0.5,156.1,163.9,0.6,0.4,0.2,0.3,0.5,153.6,0.2,1.8,0.0,0.0,6.1,0.3,0,0,0,0,0,0,0,111434.0,556.0,0.0,0.0
29018,18,163.8,498.6,3.04,88.9,14.6,9.0,65.3,124.1,14.3,0.3,8.8,0.2,14.6,0.7,0.2,49.9,0.0,0.0,25.1,10.1,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29019,19,71.0,157.5,2.22,14.7,13.9,0.1,0.7,31.9,13.8,0.1,0.0,0.1,0.1,0.2,0.0,0.4,0.0,0.0,12.8,4.4,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29020,20,90.4,256.0,2.83,26.1,0.4,0.2,25.5,47.4,0.2,0.2,0.1,0.1,13.5,0.4,10.9,0.7,0.0,0.0,15.8,5.6,1,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29021,21,13.8,39.0,2.82,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.9,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29022,22,38.8,84.9,2.19,51.6,0.4,0.2,50.9,62.3,0.2,0.2,0.1,0.1,0.2,0.4,0.1,50.2,0.0,0.0,8.3,2.4,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29023,23,9.5,24.1,2.53,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.6,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29024,24,24.4,61.1,2.5,54.4,1.0,0.5,52.9,67.3,0.6,0.5,0.2,0.3,0.5,1.0,0.2,51.1,0.0,0.0,11.4,1.5,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29025,25,28.9,82.8,2.87,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,1.8,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29026,26,13.6,39.9,2.93,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1.5,0.8,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29027,27,18.2,50.7,2.78,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.1,1,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29028,28,11.3,17.2,1.52,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.7,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29029,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,138566.0,0.0,0.0,0.0
29030,30,22.6,63.8,2.82,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.4,0,0,0,0,0,0,0,125481.0,0.0,0.0,0.0
29031,31,23.1,50.1,2.16,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.4,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29032,32,14.9,37.3,2.51,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.9,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29033,33,19.0,41.1,2.16,43.4,41.6,0.2,1.5,49.4,41.5,0.2,0.1,0.1,0.2,0.4,0.1,0.8,0.0,0.0,4.8,1.2,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29034,34,6.4,16.0,2.51,15.0,0.2,0.1,14.7,18.2,0.1,0.1,0.0,0.0,14.2,0.2,0.0,0.3,0.0,0.0,2.9,0.4,1,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29035,35,11.8,29.6,2.51,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.7,1,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29036,36,6.0,14.8,2.49,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.4,0,0,0,0,0,0,0,111434.0,0.0,0.0,0.0
29037,37,1.6,5.0,3.19,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0,0,0,0,0,0,0,152661.0,0.0,0.0,0.0
