;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
31001,1,47.9,79.7,1.67,24.7,6.2,5.7,12.8,28.9,6.1,0.1,0.0,5.7,0.0,12.6,0.0,0.1,0.0,0.0,2.0,2.2,22,0,0,0,0,0,15,28250.0,24.0,0.0,0.0
31002,2,9.8,20.4,2.09,14.0,8.3,5.5,0.2,14.8,0.0,8.3,0.0,5.5,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.4,5,0,0,0,0,0,7,28250.0,0.0,0.0,0.0
31003,3,28.3,95.2,3.37,63.6,0.2,5.9,57.5,66.2,0.1,0.1,0.0,5.9,0.1,0.3,34.0,23.1,0.0,0.0,1.3,1.3,7,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31004,4,47.9,99.5,2.08,37.4,14.6,0.1,22.6,41.6,6.1,8.5,0.0,0.1,0.0,0.2,0.1,22.4,0.0,0.0,2.0,2.2,26,0,0,0,0,0,20,28250.0,0.0,0.0,0.0
31005,5,21.8,33.7,1.55,20.6,8.2,0.0,12.3,22.5,0.0,8.2,0.0,0.0,0.0,12.2,0.0,0.1,0.0,0.0,0.9,1.0,44,0,35,0,0,0,14,28250.0,0.0,0.0,0.0
31006,6,13.1,25.7,1.97,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.5,0.6,15,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31007,7,1.1,3.0,2.72,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31008,8,8.7,35.5,4.08,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31009,9,2.2,5.9,2.71,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31011,11,5.4,7.9,1.44,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31012,12,1.1,2.6,2.42,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31013,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31014,14,1.1,2.6,2.42,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31015,15,3.3,7.9,2.42,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31016,16,4.4,9.9,2.27,31.3,8.6,0.1,22.6,55.7,0.0,8.5,0.0,0.0,0.0,0.2,0.1,22.4,0.0,24.0,0.2,0.2,6,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31017,17,2.2,4.0,1.82,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31018,18,0.0,0.0,0.0,63.2,0.2,0.1,62.8,63.3,0.1,0.1,0.0,0.1,0.1,62.3,0.1,0.3,0.0,0.0,0.1,0.0,0,0,0,0,0,0,0,61250.0,144.0,86.0,72.0
31019,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31020,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31021,21,1.1,2.3,2.12,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31022,22,4.4,10.2,2.33,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31023,23,6.5,16.1,2.46,12.6,0.0,0.0,12.6,13.2,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.1,0.0,0.0,0.3,0.3,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31024,24,60.0,198.4,3.31,6.1,6.0,0.0,0.1,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.7,18,0,0,0,0,0,3,61250.0,0.0,0.0,0.0
31025,25,12.0,25.7,2.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31026,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31027,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31028,28,2.2,5.9,2.71,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31029,29,5.4,6.5,1.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31030,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31031,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31032,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31033,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31034,34,8.7,17.6,2.02,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,6,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31035,35,6.5,11.9,1.82,6.0,0.0,5.9,0.1,6.5,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31036,36,40.3,124.4,3.09,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.8,12,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31037,37,3.3,4.0,1.21,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,28250.0,0.0,0.0,0.0
31038,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31039,39,8.7,23.7,2.72,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31040,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31041,41,13.1,23.7,1.82,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31042,42,50.1,179.2,3.58,40.9,6.4,0.1,34.4,45.3,6.3,0.1,0.0,0.1,0.0,0.2,11.3,22.8,0.0,0.0,2.1,2.3,9,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31043,43,16.3,24.7,1.51,10.2,0.0,10.0,0.2,11.6,0.0,0.0,10.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.7,0.7,11,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31044,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31045,45,72.9,167.2,2.29,93.9,17.0,5.7,71.2,117.3,0.1,16.9,0.1,5.7,23.6,25.1,0.2,22.4,16.9,0.0,3.2,3.3,29,0,0,0,0,0,11,61250.0,105.0,0.0,0.0
31046,46,9.8,23.3,2.38,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31047,47,1.0,2.7,2.71,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31048,48,2.2,4.9,2.27,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31049,49,4.4,13.2,3.02,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.2,0.2,1,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31050,50,15.2,52.9,3.47,6.0,0.0,5.9,0.1,7.3,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,2,0,0,0,0,0,4,61250.0,0.0,0.0,0.0
31051,51,0.0,0.0,0.0,16.2,0.1,15.9,0.2,16.2,0.0,0.0,9.7,6.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31052,52,12.0,31.6,2.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31053,53,1.1,1.9,1.73,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
31054,54,6.5,15.1,2.31,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0,0,0,0,0,0,0,61250.0,0.0,0.0,0.0
