;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
33001,1,85.4,165.1,1.93,559.1,221.3,50.6,287.2,571.9,134.4,86.9,13.4,37.2,5.0,81.8,34.8,165.6,0.0,0.0,6.1,6.7,280,356,151,0,0,0,30,71750.0,0.0,0.0,0.0
33002,2,54.9,137.4,2.51,98.1,3.4,11.8,82.9,111.2,1.7,1.7,9.7,2.2,0.8,2.4,0.3,79.4,0.0,0.0,8.8,4.3,143,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33003,3,121.4,274.2,2.26,367.5,99.0,22.1,246.4,392.6,15.2,83.8,2.0,20.1,17.9,9.5,9.0,209.9,0.0,0.0,15.7,9.5,428,132,0,0,0,0,77,71750.0,0.0,0.0,0.0
33004,4,47.1,56.5,1.2,160.3,18.6,4.2,137.6,172.9,2.7,15.9,0.8,3.4,1.3,3.7,8.0,124.5,0.0,0.0,8.9,3.7,168,267,207,0,0,0,0,71750.0,0.0,0.0,0.0
33005,5,118.0,141.6,1.2,26.4,5.0,20.0,1.4,59.7,0.2,4.7,19.7,0.3,0.1,0.3,0.0,0.9,0.0,0.0,24.1,9.2,194,0,146,0,0,0,0,71750.0,0.0,0.0,0.0
33006,6,4.3,18.1,4.26,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,6,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33007,7,4.2,15.6,3.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,17,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33008,8,62.6,158.3,2.53,52.4,9.1,0.6,42.7,58.8,8.7,0.4,0.1,0.5,14.8,0.4,0.1,27.4,0.0,0.0,1.5,4.9,498,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33009,9,44.2,93.6,2.12,2.1,0.4,0.3,1.3,9.0,0.2,0.2,0.1,0.3,0.1,0.3,0.0,0.9,0.0,0.0,3.5,3.5,363,0,45,0,0,0,0,71750.0,0.0,0.0,0.0
33010,10,6.3,16.9,2.69,35.4,0.4,9.5,25.4,36.3,0.2,0.2,9.2,0.3,0.1,0.3,0.0,25.0,0.0,0.0,0.4,0.5,0,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33011,11,21.0,37.8,1.8,53.3,38.5,0.7,14.2,58.0,38.1,0.4,0.1,0.6,0.2,12.5,0.1,1.5,0.0,0.0,3.0,1.6,0,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33012,12,32.3,59.3,1.83,11.6,0.2,0.1,11.3,15.7,0.1,0.1,0.0,0.1,0.0,10.9,0.0,0.3,0.0,0.0,1.6,2.5,7,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33013,13,16.5,27.2,1.65,12.6,0.2,0.1,12.4,17.7,0.1,0.1,0.0,0.1,0.0,0.1,0.0,12.2,0.0,0.0,3.8,1.3,1,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
33014,14,4.1,9.6,2.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0,0,0,0,0,0,0,71750.0,0.0,0.0,0.0
