;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
37001,1,1.1,2.7,2.48,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.1,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37002,2,169.8,356.5,2.1,131.6,18.0,5.2,108.4,164.9,10.0,7.9,0.0,5.2,11.7,0.3,0.2,96.2,0.0,24.3,0.0,9.0,0,0,4,0,0,0,0,67395.0,0.0,0.0,0.0
37003,3,145.1,282.0,1.94,42.2,11.1,5.5,25.6,69.6,10.5,0.6,0.1,5.3,12.0,1.4,11.1,1.1,0.0,0.0,19.8,7.7,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37004,4,0.1,0.2,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37005,5,49.8,142.6,2.86,0.0,0.0,0.0,0.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,2.7,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37006,6,0.1,0.2,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37007,7,1.3,3.2,2.51,5.3,1.0,0.2,4.0,5.4,0.4,0.6,0.1,0.1,0.2,1.4,1.2,1.2,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37008,8,44.4,65.8,1.48,68.5,0.2,0.0,68.3,76.6,0.1,0.1,0.0,0.0,13.6,54.4,0.2,0.2,0.0,0.0,5.6,2.4,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37009,9,72.1,178.5,2.48,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,3.8,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
37010,10,0.1,0.2,2.48,24.9,0.3,0.1,24.5,152.1,0.1,0.2,0.0,0.0,0.1,0.4,0.3,23.7,127.2,0.0,0.1,0.0,0,0,0,0,0,0,0,67395.0,0.0,0.0,0.0
