;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
39001,1,52.1,183.9,3.53,21.2,1.7,11.2,8.3,25.8,1.2,0.5,2.1,9.1,0.9,4.1,1.1,2.3,0.0,0.0,0.9,3.7,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39002,2,61.6,147.2,2.39,39.6,0.8,12.9,25.9,44.8,0.6,0.3,12.7,0.1,0.4,1.9,0.5,23.1,0.0,0.0,0.8,4.3,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39003,3,108.8,338.4,3.11,43.9,0.3,8.3,35.3,51.8,0.2,0.1,0.4,7.9,0.2,25.9,8.8,0.4,0.0,0.0,0.2,7.7,0,0,0,0,0,0,0,67330.0,142.0,0.0,0.0
39004,4,75.8,211.2,2.79,43.7,1.2,1.6,41.0,50.8,0.8,0.4,1.4,0.2,0.6,14.9,0.7,24.7,0.0,0.0,1.7,5.3,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39005,5,20.2,46.3,2.3,49.9,3.7,5.2,41.0,53.8,2.5,1.2,4.5,0.7,1.9,8.8,2.3,28.0,0.0,0.0,2.5,1.4,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39006,6,20.3,87.1,4.29,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.4,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39007,7,27.8,113.7,4.08,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39008,8,73.8,233.6,3.17,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5.2,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39009,9,12.3,41.7,3.39,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39011,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39012,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
39013,13,15.7,44.3,2.82,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.1,0,0,0,0,0,0,0,67330.0,0.0,0.0,0.0
