;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
41001,1,122.1,307.8,2.52,61.3,2.4,52.7,6.1,109.1,1.5,0.9,45.1,7.6,0.5,2.1,1.5,2.1,0.0,28.8,8.5,10.5,1,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41002,2,11.2,33.3,2.96,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41003,3,132.0,379.1,2.87,100.3,11.3,47.5,41.5,120.2,2.3,9.0,46.1,1.5,0.8,14.1,2.2,24.4,0.0,0.0,8.6,11.4,21,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41004,4,16.0,48.5,3.03,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.4,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41005,5,2.3,6.5,2.85,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41006,6,8.0,21.9,2.74,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41007,7,5.7,14.8,2.59,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41008,8,1.1,3.2,2.85,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41009,9,0.0,0.0,0.0,61.5,2.3,53.5,5.7,62.3,1.4,0.8,52.6,0.9,0.5,1.9,1.4,1.9,0.0,0.0,0.8,0.0,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41010,10,4.6,12.0,2.64,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41011,11,2.3,6.3,2.74,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41012,12,4.6,11.4,2.5,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41013,13,26.1,72.0,2.76,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.2,2,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41014,14,1.1,5.6,4.92,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41015,15,5.7,14.3,2.5,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41016,16,1.1,3.1,2.74,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41017,17,6.8,17.1,2.5,73.8,2.7,64.3,6.8,76.1,1.7,1.0,63.2,1.1,0.6,2.3,1.6,2.3,0.0,0.0,1.7,0.6,1,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
41018,18,6.8,28.0,4.09,0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.7,0.6,0,0,0,0,0,0,0,68269.0,0.0,0.0,0.0
