;CO_TAZID,Index,TOTHH,HHPOP,HHSize,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
43001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,183472.0,0.0,0.0,0.0
43002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,158056.0,0.0,0.0,0.0
43003,3,31.1,85.0,2.734078788736321,4.7,0.2,0.0,4.5,13.4,0.1,0.1,0.0,0.0,2.7,0.1,1.3,0.3,0.0,0.0,0.5,8.1,1,0,0,1,0,0,0,183472.0,0.0,0.0,0.0
43004,4,466.5,1281.6,2.747000983821619,399.7,3.0,28.0,368.6,529.1,1.2,1.8,0.3,27.7,59.6,1.3,2.2,305.5,0.0,0.0,7.5,121.9,15,0,0,15,0,0,0,188706.0,0.0,0.0,0.0
43005,5,388.7,1222.9,3.146162549467193,287.2,6.7,13.6,266.9,400.4,5.1,1.6,6.1,7.5,89.2,1.1,68.2,108.4,0.0,0.0,11.7,101.5,79,0,0,79,0,0,0,296401.0,0.0,0.0,0.0
43006,6,10.0,26.2,2.6160149924707277,343.5,33.7,82.8,227.0,427.9,30.4,3.2,0.6,82.2,11.2,145.4,18.4,51.9,0.0,0.0,81.9,2.6,0,0,0,0,0,0,0,300000.0,392.0,0.0,0.0
43007,7,15.1,39.7,2.6309542022621892,11.0,2.9,0.6,7.5,15.4,1.2,1.8,0.3,0.3,1.1,1.2,0.9,4.3,0.0,0.0,0.5,3.9,0,0,0,0,0,0,0,162366.0,0.0,0.0,0.0
43008,8,0.0,0.0,0.0,710.0,34.1,77.0,598.8,717.1,15.1,19.0,1.2,75.8,369.0,4.6,62.9,162.5,0.0,0.0,7.2,0.0,0,0,0,0,0,0,0,158056.0,7.0,0.0,0.0
43009,9,588.4,1533.4,2.606012573440807,190.1,8.0,5.4,176.7,353.5,4.7,3.3,0.4,5.0,77.0,1.6,38.0,60.1,0.0,0.0,9.7,153.7,27,0,0,27,0,0,0,175714.0,0.0,0.0,0.0
43010,10,348.6,1044.4,2.995706415979597,246.4,9.1,27.9,209.4,350.9,5.6,3.5,0.7,27.3,83.4,4.8,7.1,114.1,0.0,0.0,13.5,91.1,86,0,0,86,0,0,0,200068.0,0.0,0.0,0.0
43011,11,81.2,190.4,2.346014109721699,29.3,10.3,0.2,18.8,51.9,0.3,10.0,0.1,0.1,7.7,0.3,1.6,9.2,0.0,0.0,1.4,21.2,22,0,0,22,0,0,0,165445.0,0.0,0.0,0.0
43012,12,17.3,40.6,2.3540142334717977,6.8,1.1,0.2,5.6,13.1,0.4,0.6,0.1,0.1,3.1,0.4,0.3,1.6,0.0,0.0,1.8,4.5,13,0,0,13,0,0,0,167778.0,0.0,0.0,0.0
43013,13,38.8,93.0,2.3974216061532796,2.9,0.5,1.1,1.3,15.4,0.2,0.3,1.0,0.0,0.2,0.2,0.2,0.8,0.0,0.0,2.4,10.1,27,0,0,27,0,0,0,167778.0,0.0,0.0,0.0
43014,14,31.1,73.0,2.3464129421862427,84.0,0.7,0.1,83.1,93.0,0.3,0.4,0.1,0.1,0.3,0.3,6.5,76.0,0.0,0.0,0.9,8.1,23,0,0,23,0,0,0,167778.0,0.0,0.0,0.0
43015,15,30.4,71.8,2.3657962348141868,18.5,1.3,6.1,11.0,28.2,0.5,0.8,0.1,6.0,8.0,0.6,0.4,2.0,0.0,0.0,1.8,7.9,22,0,0,22,0,0,0,167778.0,0.0,0.0,0.0
