;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
47001,1,39.3,73.7,1.87,156.7,12.8,52.3,91.7,288.1,11.6,1.2,0.4,51.9,0.8,3.8,1.0,86.1,0.0,116.0,12.4,3.0,3,0,0,0,0,0,0,81641.0,0.0,0.0,0.0
47002,2,201.8,616.0,3.05,258.3,146.6,49.4,62.4,372.1,82.5,64.1,17.1,32.3,38.2,1.1,0.3,22.8,0.0,69.6,28.9,15.2,0,0,65,0,0,0,182,81641.0,0.0,0.0,0.0
47003,3,77.4,215.9,2.79,171.7,11.5,11.2,148.9,204.3,10.7,0.8,0.3,10.9,0.6,125.1,0.7,22.6,0.0,11.6,15.2,5.8,0,0,0,0,0,0,0,81641.0,0.0,0.0,0.0
47004,4,100.5,379.0,3.77,50.1,2.3,19.9,27.9,74.9,1.4,0.9,8.4,11.5,0.6,2.8,0.8,23.7,0.0,0.0,17.3,7.6,5,0,0,0,0,0,0,81641.0,0.0,0.0,0.0
47005,5,66.6,169.7,2.55,9.1,0.2,0.1,8.7,35.3,0.1,0.1,0.0,0.1,0.1,0.2,8.2,0.2,0.0,0.0,21.2,5.0,0,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47006,6,35.3,90.6,2.57,0.0,0.0,0.0,0.0,106.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,17.6,2.7,1,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47007,7,24.2,97.9,4.04,10.2,0.0,10.1,0.1,27.1,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1.8,0,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47008,8,40.4,136.7,3.39,30.8,0.1,10.0,20.7,149.5,0.1,0.0,0.0,10.0,0.0,0.1,0.0,20.5,86.1,11.6,18.0,3.0,0,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47009,9,49.3,171.1,3.47,20.2,0.1,10.5,9.6,129.6,0.1,0.0,0.0,10.5,9.3,0.1,0.0,0.1,86.1,0.0,19.7,3.7,3,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47010,10,74.2,239.1,3.22,48.5,10.7,19.6,18.3,75.2,10.6,0.1,8.6,10.9,9.7,0.4,7.8,0.4,0.0,0.0,21.1,5.6,1,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47011,11,13.4,59.2,4.41,20.7,0.1,0.1,20.6,31.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,20.4,0.0,0.0,9.5,1.0,0,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47012,12,8.0,36.0,4.51,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.6,1,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47013,13,48.3,136.4,2.83,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,3.6,1,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47014,14,114.4,357.2,3.12,78.3,9.7,19.9,48.6,114.5,9.7,0.1,0.0,19.9,0.0,28.0,0.0,20.6,0.0,11.6,16.0,8.6,3,0,0,0,0,0,0,82073.0,147.0,0.0,0.0
47015,15,50.1,138.3,2.76,10.9,0.2,10.2,0.5,34.7,0.1,0.1,0.0,10.2,0.0,0.2,0.1,0.2,0.0,0.0,20.0,3.8,2,0,0,0,0,0,0,37206.0,0.0,0.0,0.0
47016,16,67.6,177.8,2.63,10.6,10.5,0.0,0.1,37.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,5.1,3,0,0,0,0,0,0,37206.0,0.0,0.0,0.0
47017,17,40.4,94.0,2.33,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.0,1,0,0,0,0,0,0,81641.0,0.0,0.0,0.0
47018,18,19.8,89.1,4.49,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1.5,3,0,0,0,0,0,0,45380.0,0.0,0.0,0.0
47019,19,103.2,293.7,2.84,36.8,8.6,0.1,28.1,86.1,0.1,8.5,0.0,0.1,0.1,27.7,0.1,0.2,0.0,23.2,18.3,7.8,0,0,0,0,0,0,0,37206.0,217.0,61.0,0.0
47020,20,69.7,203.5,2.92,13.7,0.8,10.6,2.3,127.9,0.5,0.3,0.1,10.5,0.2,0.9,0.3,0.9,86.1,0.0,22.9,5.2,6,0,0,0,0,0,0,45380.0,0.0,0.0,0.0
47021,21,129.3,354.7,2.74,47.9,0.1,18.7,29.1,72.0,0.1,0.0,8.3,10.4,0.0,0.2,7.5,21.4,0.0,0.0,14.3,9.7,3,0,0,0,0,0,0,39250.0,0.0,0.0,0.0
47022,22,160.0,383.9,2.4,1109.6,5.4,3.8,1100.4,1139.1,3.3,2.1,0.7,3.1,1.4,1056.0,36.5,6.6,0.0,0.0,17.4,12.1,5,0,0,0,0,0,0,45380.0,0.0,0.0,82.0
47023,23,97.8,197.8,2.02,32.6,0.5,10.3,21.9,59.9,0.3,0.2,0.1,10.2,0.1,0.6,0.2,21.0,0.0,0.0,19.9,7.4,1,0,0,0,0,0,0,45380.0,0.0,0.0,0.0
47024,24,33.4,104.3,3.13,30.8,0.1,10.0,20.7,61.6,0.1,0.0,0.0,10.0,0.0,0.1,0.0,20.5,0.0,11.6,16.7,2.5,2,0,0,0,0,0,0,29250.0,0.0,0.0,0.0
47025,25,89.3,314.4,3.52,41.3,0.2,20.1,21.0,79.6,0.1,0.1,0.0,20.1,0.0,0.2,0.1,20.7,0.0,11.6,20.0,6.7,3,0,0,0,0,0,0,68750.0,0.0,0.0,0.0
47026,26,202.1,644.8,3.19,99.6,0.0,10.0,89.6,134.1,0.0,0.0,0.0,10.0,0.0,0.0,7.2,82.3,0.0,11.6,7.6,15.2,7,0,0,0,0,0,0,112975.0,0.0,0.0,0.0
47027,27,106.2,368.8,3.47,60.2,0.2,38.6,21.4,87.1,0.1,0.1,8.1,30.5,0.0,0.2,0.1,21.0,0.0,0.0,18.9,8.0,0,0,0,0,0,0,0,95396.0,0.0,0.0,0.0
47028,28,4.8,15.5,3.24,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0,0,0,0,0,55625.0,0.0,0.0,0.0
47029,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,115278.0,0.0,0.0,0.0
47030,30,71.4,174.1,2.44,30.4,0.1,0.1,30.2,55.9,0.1,0.0,0.0,0.1,9.1,0.1,0.0,21.0,0.0,0.0,20.1,5.4,13,0,0,0,0,0,0,114100.0,0.0,0.0,0.0
47031,31,136.7,460.6,3.37,56.4,1.8,11.5,43.1,360.2,1.1,0.7,0.2,11.3,9.7,2.1,8.0,23.3,0.0,278.3,15.2,10.3,9,0,0,0,0,0,0,115278.0,0.0,0.0,0.0
47032,32,33.4,55.5,1.66,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,2.5,16,0,0,0,0,0,0,76961.0,0.0,0.0,0.0
47033,33,52.1,132.7,2.55,30.4,0.1,0.1,30.2,36.9,0.1,0.0,0.0,0.1,9.1,0.1,0.0,21.0,0.0,0.0,2.6,3.9,0,1,0,0,0,0,0,50393.0,0.0,0.0,0.0
47034,34,13.9,35.7,2.57,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,2.4,1.0,0,0,0,0,0,0,0,50393.0,0.0,0.0,0.0
47035,35,406.9,929.3,2.28,88.8,0.8,11.0,77.0,166.0,0.5,0.3,0.1,10.9,9.5,1.0,22.8,43.7,0.0,11.6,35.0,30.7,1,0,0,0,0,0,0,50393.0,0.0,0.0,0.0
47036,36,14.9,32.0,2.15,73.7,1.4,1.0,71.3,79.0,0.8,0.5,0.2,0.8,0.4,68.8,0.5,1.7,0.0,0.0,4.2,1.1,0,0,0,0,0,0,0,61434.0,0.0,0.0,0.0
47037,37,426.4,1121.2,2.63,548.0,87.8,61.4,398.9,623.6,53.1,34.6,16.9,44.4,16.9,130.3,173.7,78.0,0.0,11.6,31.9,32.1,3,4,0,0,0,0,0,47500.0,442.0,579.0,0.0
47038,38,208.8,620.2,2.97,68.4,20.5,10.6,37.3,122.4,20.4,0.1,0.0,10.6,0.0,0.2,15.2,21.8,0.0,34.8,3.5,15.7,2,0,0,0,0,0,0,51327.0,0.0,0.0,0.0
47039,39,284.4,684.3,2.41,143.2,9.1,10.4,123.7,252.4,0.2,8.8,0.1,10.3,18.2,14.6,7.4,83.5,0.0,0.0,87.8,21.4,2,0,0,0,0,0,0,54583.0,0.0,0.0,0.0
47040,40,72.8,181.3,2.49,701.6,89.9,55.8,555.9,731.8,39.0,51.0,27.3,28.5,32.0,29.9,281.2,212.8,0.0,11.6,13.1,5.5,5,0,0,0,0,0,68,54583.0,0.0,0.0,0.0
47041,41,68.9,121.6,1.76,107.4,9.7,8.0,89.7,122.4,9.6,0.1,7.9,0.1,0.1,69.1,0.1,20.5,0.0,0.0,9.8,5.2,0,0,0,0,0,0,0,50393.0,0.0,0.0,0.0
47042,42,101.3,279.0,2.75,705.1,173.5,5.5,526.1,835.0,73.9,99.6,1.0,4.5,66.0,338.5,91.0,30.6,86.1,23.2,13.0,7.6,2,0,0,0,0,0,110,60378.0,0.0,0.0,0.0
47043,43,149.0,436.7,2.93,95.1,54.5,3.6,37.1,249.1,43.5,11.0,0.7,2.9,1.3,6.3,1.7,27.7,0.0,23.2,119.6,11.2,1,0,0,0,0,0,0,50393.0,0.0,0.0,0.0
47044,44,188.5,445.3,2.36,111.8,0.3,9.8,101.7,170.0,0.2,0.1,0.0,9.8,0.1,81.4,0.1,20.2,0.0,0.0,44.0,14.2,1,7,0,0,0,0,0,61434.0,360.0,136.0,101.0
47045,45,264.0,756.4,2.87,778.4,454.7,22.2,301.5,821.2,217.0,237.7,9.0,13.1,67.3,79.5,62.4,92.3,0.0,11.6,11.3,19.9,0,0,0,0,0,0,61,47500.0,0.0,0.0,0.0
47046,46,327.2,719.2,2.2,910.0,365.3,24.0,520.6,1006.8,193.7,171.6,0.6,23.4,57.0,180.5,106.5,176.6,0.0,11.6,60.6,24.7,3,0,0,0,0,0,260,56875.0,0.0,844.0,0.0
47047,47,69.1,162.7,2.35,343.6,78.7,8.5,256.4,378.4,38.0,40.7,1.6,6.9,12.5,29.2,71.5,143.2,0.0,11.6,17.9,5.2,1,0,0,0,0,0,44,56875.0,0.0,0.0,0.0
47048,48,238.1,618.5,2.6,154.5,0.4,69.7,84.4,218.8,0.3,0.2,0.1,69.6,0.1,56.1,7.3,20.9,0.0,0.0,46.3,17.9,6,5,0,0,0,0,0,56875.0,0.0,0.0,0.0
47049,49,29.3,38.5,1.31,548.2,122.2,14.2,411.7,599.1,42.4,79.8,0.8,13.5,73.3,287.9,2.1,48.5,0.0,11.6,37.1,2.2,2,0,0,0,0,0,36,60378.0,0.0,0.0,0.0
47050,50,199.3,402.4,2.02,112.2,2.0,1.4,108.9,163.4,1.2,0.8,0.3,1.1,0.5,16.3,7.8,84.2,0.0,0.0,36.2,15.0,5,0,0,0,0,0,0,60378.0,0.0,0.0,0.0
