;CO_TAZID,Index,TOTHH,HHPOP,HHSize,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
51001,1,184.2,351.3,1.9076008277318794,100.9,83.0,1.2,16.7,118.8,1.2,81.8,0.8,0.4,9.2,1.5,1.3,4.7,0.0,0.0,2.0,16.0,240,0,0,240,0,0,129,144606.0,0.0,0.0,0.0
51002,2,150.0,288.6,1.9236710325819009,28.2,15.4,0.2,12.6,41.3,15.2,0.1,0.1,0.1,0.2,0.3,0.2,11.9,0.0,0.0,0.1,13.0,206,0,0,206,0,0,0,144606.0,0.0,0.0,0.0
51003,3,85.9,163.6,1.9057535348147931,24.0,0.5,0.3,23.2,34.1,0.3,0.2,0.2,0.1,0.3,0.4,0.3,22.2,0.0,0.0,2.7,7.4,104,0,0,104,0,0,0,144606.0,0.0,0.0,0.0
51004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,144606.0,0.0,0.0,0.0
51005,5,37.2,72.4,1.945932165806074,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,123,0,0,123,0,0,0,144606.0,0.0,0.0,0.0
51006,6,36.0,89.5,2.487093130052487,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.1,29,0,0,29,0,0,0,144606.0,0.0,0.0,0.0
51007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,144606.0,0.0,0.0,0.0
51008,8,179.7,344.9,1.9191464114770658,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.6,113,0,0,113,0,0,0,144606.0,0.0,0.0,0.0
51009,9,86.2,165.9,1.924821359845236,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,7.5,625,0,0,625,0,0,0,144606.0,0.0,0.0,0.0
51010,10,102.7,197.5,1.922908456228206,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,8.9,124,0,0,124,0,0,0,144606.0,0.0,0.0,0.0
