;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
55001,1,29.1,89.4,3.08,27.3,21.0,0.5,5.8,36.4,10.9,10.1,0.2,0.3,0.3,1.1,0.4,3.9,0.0,0.0,5.9,3.2,6,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55002,2,45.7,128.8,2.82,51.4,32.6,0.5,18.3,59.2,31.3,1.4,0.2,0.3,0.3,13.4,0.4,4.1,0.0,0.0,2.8,5.0,6,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55003,3,53.5,143.4,2.68,215.2,8.2,12.7,194.4,225.8,3.2,5.0,7.1,5.6,19.8,113.0,1.6,60.1,0.0,0.0,4.7,5.9,18,0,0,0,0,0,14,66658.0,0.0,0.0,0.0
55004,4,39.0,106.6,2.73,153.3,61.9,9.8,81.6,161.4,50.2,11.7,0.4,9.4,0.9,26.1,1.1,53.6,0.0,0.0,3.8,4.3,7,4,0,0,0,0,15,66658.0,212.0,0.0,0.0
55005,5,2.3,6.0,2.62,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.3,0,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55006,6,29.4,64.8,2.21,7.5,0.4,6.2,1.0,13.3,0.1,0.2,6.2,0.0,0.1,0.2,0.1,0.7,0.0,0.0,2.5,3.2,13,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55007,7,12.5,54.9,4.38,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.4,3,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55008,8,20.0,41.4,2.07,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.2,15,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55009,9,12.5,82.8,6.61,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.4,9,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55010,10,17.1,40.4,2.36,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1.9,1,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
55011,11,12.8,24.9,1.94,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1.4,0,0,0,0,0,0,0,66658.0,0.0,0.0,0.0
