;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
57001,1,48.9,96.9,1.98,8.3,0.1,0.1,8.2,11.5,0.0,0.0,0.1,0.0,0.1,0.1,0.2,7.7,0.0,0.0,1.9,1.3,10,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57003,3,6.4,14.4,2.26,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,3,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57004,4,24.5,41.6,1.7,38.0,0.2,0.2,37.6,41.8,0.1,0.1,0.1,0.1,0.3,0.3,28.7,8.3,0.0,0.0,3.2,0.7,6,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57005,5,35.2,87.2,2.48,64.0,2.7,1.0,60.3,67.7,0.5,2.2,0.6,0.3,1.4,18.9,33.3,6.7,0.0,0.0,2.7,1.0,5,0,0,0,0,0,4,127083.0,0.0,0.0,0.0
57006,6,24.4,62.8,2.57,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,1,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57007,7,68.3,163.3,2.39,18.1,5.8,0.9,11.4,22.3,0.4,5.4,0.6,0.3,1.2,1.5,2.7,5.9,0.0,0.0,2.4,1.9,9,0,0,0,0,0,15,127083.0,0.0,0.0,0.0
57008,8,39.0,111.6,2.86,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.1,2,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57009,9,8.6,18.7,2.18,16.4,8.5,0.6,7.3,19.4,8.3,0.2,0.4,0.2,0.8,1.0,1.7,3.8,0.0,0.0,2.8,0.2,0,0,0,0,0,0,0,127083.0,0.0,0.0,0.0
57010,10,63.0,175.4,2.78,59.0,10.1,1.6,47.3,65.8,0.8,9.3,1.1,0.5,2.3,2.9,5.0,37.2,0.0,0.0,5.0,1.7,2,0,0,0,0,0,0,126154.0,0.0,0.0,0.0
