COUNTY,YEAR,Metric,Combined_Col,Combined_Sum,Control_Total,Difference,Pct_Diff
CACHE,2024,MANU,MANU,12222.864,12221.0,1.864,0.0153
CACHE,2024,GVED,GVED,14512.48,14514.0,-1.52,-0.0105
CACHE,2024,MANU,MANU,12222.77,12221.0,1.77,0.0145
CACHE,2024,GVED,GVED,14512.469,14514.0,-1.531,-0.0105
CACHE,2024,MANU,MANU,12222.77,12221.0,1.77,0.0145
CACHE,2024,GVED,GVED,14512.469,14514.0,-1.531,-0.0105
CACHE,2024,MANU,MANU,12222.77,12221.0,1.77,0.0145
CACHE,2024,GVED,GVED,14512.469,14514.0,-1.531,-0.0105
CACHE,2024,MANU,MANU,12222.751,12221.0,1.751,0.0143
CACHE,2024,GVED,GVED,14512.441,14514.0,-1.559,-0.0107
CACHE,2024,MANU,MANU,12222.751,12221.0,1.751,0.0143
CACHE,2024,GVED,GVED,14512.441,14514.0,-1.559,-0.0107
CACHE,2024,MANU,MANU,12222.251,12221.0,1.251,0.0102
CACHE,2024,MANU,MANU,12222.251,12221.0,1.251,0.0102
