GEO_ID,NAME,B19013_001E,B19013_001M
id,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)
0500000US49001,"Beaver County, Utah",55221,7694
0500000US49003,"Box Elder County, Utah",62233,2009
0500000US49005,"Cache County, Utah",59038,1872
0500000US49007,"Carbon County, Utah",51158,2215
0500000US49009,"Daggett County, Utah",75417,29289
0500000US49011,"Davis County, Utah",83310,1427
0500000US49013,"Duchesne County, Utah",63224,2550
0500000US49015,"Emery County, Utah",55554,2873
0500000US49017,"Garfield County, Utah",54565,8867
0500000US49019,"Grand County, Utah",51557,2991
0500000US49021,"Iron County, Utah",51807,2936
0500000US49023,"Juab County, Utah",61463,4155
0500000US49025,"Kane County, Utah",47044,5457
0500000US49027,"Millard County, Utah",62242,4893
0500000US49029,"Morgan County, Utah",91341,2110
0500000US49031,"Piute County, Utah",42813,7425
0500000US49033,"Rich County, Utah",57902,8881
0500000US49035,"Salt Lake County, Utah",74865,774
0500000US49037,"San Juan County, Utah",45394,3022
0500000US49039,"Sanpete County, Utah",53838,2852
0500000US49041,"Sevier County, Utah",54799,2629
0500000US49043,"Summit County, Utah",102958,5613
0500000US49045,"Tooele County, Utah",74562,2555
0500000US49047,"Uintah County, Utah",65264,3930
0500000US49049,"Utah County, Utah",74665,868
0500000US49051,"Wasatch County, Utah",85166,7355
0500000US49053,"Washington County, Utah",59839,1736
0500000US49055,"Wayne County, Utah",44245,3098
0500000US49057,"Weber County, Utah",67244,1291
0400000US49,Utah,71621,447
